ClientID,ClientName,ClientDescription,ItemId,ItemName,ItemValue,ItemType
2,GoClient,This is a Go Protobuf client!!,1,FirstItemName,777,0
2,GoClient,This is a Go Protobuf client!!,2,SecondItemName,888,1
2,GoClient,This is a Go Protobuf client!!,3,ThirdItemName,999,2
2,GoClient,This is a Go Protobuf client!!,4,FourthItemName,1010,0
2,GoClient,This is a Go Protobuf client!!,5,FifthItemName,2020,3
ClientID,ClientName,ClientDescription,ItemId,ItemName,ItemValue,ItemType
2,GoClient,This is a Go Protobuf client!!,1,FirstItemName,777,0
2,GoClient,This is a Go Protobuf client!!,2,SecondItemName,888,1
2,GoClient,This is a Go Protobuf client!!,3,ThirdItemName,999,2
2,GoClient,This is a Go Protobuf client!!,4,FourthItemName,1010,0
2,GoClient,This is a Go Protobuf client!!,5,FifthItemName,2020,3
ClientID,ClientName,ClientDescription,ItemId,ItemName,ItemValue,ItemType
2,GoClient,This is a Go Protobuf client!!,1,FirstItemName,777,0
2,GoClient,This is a Go Protobuf client!!,2,SecondItemName,888,1
2,GoClient,This is a Go Protobuf client!!,3,ThirdItemName,999,2
2,GoClient,This is a Go Protobuf client!!,4,FourthItemName,1010,0
2,GoClient,This is a Go Protobuf client!!,5,FifthItemName,2020,3
ClientID,ClientName,ClientDescription,ItemId,ItemName,ItemValue,ItemType
1,PyClient,This is a Python script!!,1,FirstItemName,222,0
1,PyClient,This is a Python script!!,2,SecondItemName,333,1
1,PyClient,This is a Python script!!,3,ThirdItemName,444,2
1,PyClient,This is a Python script!!,4,FourthItemName,555,0
1,PyClient,This is a Python script!!,5,FifthItemName,666,3
ClientID,ClientName,ClientDescription,ItemId,ItemName,ItemValue,ItemType
2,GoClient,This is a Go Protobuf client!!,1,FirstItemName,777,0
2,GoClient,This is a Go Protobuf client!!,2,SecondItemName,888,1
2,GoClient,This is a Go Protobuf client!!,3,ThirdItemName,999,2
2,GoClient,This is a Go Protobuf client!!,4,FourthItemName,1010,0
2,GoClient,This is a Go Protobuf client!!,5,FifthItemName,2020,3
ClientID,ClientName,ClientDescription,ItemId,ItemName,ItemValue,ItemType
1,PyClient,This is a Python script!!,1,FirstItemName,222,0
1,PyClient,This is a Python script!!,2,SecondItemName,333,1
1,PyClient,This is a Python script!!,3,ThirdItemName,444,2
1,PyClient,This is a Python script!!,4,FourthItemName,555,0
1,PyClient,This is a Python script!!,5,FifthItemName,666,3
ClientID,ClientName,ClientDescription,ItemId,ItemName,ItemValue,ItemType
1,PyClient,This is a Python script!!,1,FirstItemName,222,0
1,PyClient,This is a Python script!!,2,SecondItemName,333,1
1,PyClient,This is a Python script!!,3,ThirdItemName,444,2
1,PyClient,This is a Python script!!,4,FourthItemName,555,0
1,PyClient,This is a Python script!!,5,FifthItemName,666,3
ClientID,ClientName,ClientDescription,ItemId,ItemName,ItemValue,ItemType
2,GoClient,This is a Go Protobuf client!!,1,FirstItemName,777,0
2,GoClient,This is a Go Protobuf client!!,2,SecondItemName,888,1
2,GoClient,This is a Go Protobuf client!!,3,ThirdItemName,999,2
2,GoClient,This is a Go Protobuf client!!,4,FourthItemName,1010,0
2,GoClient,This is a Go Protobuf client!!,5,FifthItemName,2020,3
2,GoClient,This is a Go Protobuf client!!,1,FirstItemName,777,0
2,GoClient,This is a Go Protobuf client!!,2,SecondItemName,888,1
2,GoClient,This is a Go Protobuf client!!,3,ThirdItemName,999,2
2,GoClient,This is a Go Protobuf client!!,4,FourthItemName,1010,0
2,GoClient,This is a Go Protobuf client!!,5,FifthItemName,2020,3
